id,user1_id,user2_id
24,3619,94739
25,9058,33561
26,24592,55603
27,55421,76970
28,92628,13768
29,92289,60912
30,55244,6245
31,57077,14950
32,32543,33326
33,84471,34693
34,13985,93741
35,60880,71673
36,30787,85388
37,84331,34794
38,95708,6084
39,11020,43528
40,86591,49479
41,89404,45780
42,13811,86655
43,7467,55674
44,51078,73919
45,95142,93686
46,26429,64822
47,3246,59568
48,77503,94636
49,48758,67406
50,43228,96063
51,85472,5255
52,85478,2843
53,97655,56397
54,66686,4736
55,1989,57496
56,51070,74182
57,73761,7225
58,88584,68638
59,52504,23331
60,35872,64437
61,5670,19308
62,54356,99394
63,9134,987
64,32588,79649
65,49770,70033
66,73935,83205
67,31070,23741
68,16547,2192
69,48082,26639
70,50583,9861
71,91866,28165
72,6077,12472
73,67357,62127
74,75785,91166
75,89096,54765
76,51884,1732
77,53356,95445
78,48988,50178
79,3718,99167
80,81134,28172
81,37162,79519
82,89199,49670
83,41100,48809
84,4725,7141
85,87032,35309
86,30590,47202
87,63994,67119
88,71718,10168
89,73219,54980
90,6233,38135
91,92430,76001
92,70341,43745
93,28886,88322
94,29612,32540
95,51554,6774
96,33880,81011
97,73511,51240
98,98108,79901
99,712,8507
100,71687,14961
101,15819,67021
102,21097,89291
103,33811,64810
104,15256,61341
105,66377,28101
106,60937,89413
107,99061,18245
108,71641,80045
109,10100,46697
110,50312,93900
111,91231,17171
112,94197,6379
113,41329,85660
114,17183,74686
115,46483,56234
116,36696,35952
117,99859,25545
118,22046,94187
119,55314,31682
120,9581,62951
121,27038,33077
122,97942,58869
123,98778,87443
124,95970,68469
125,63866,43343
126,40227,3337
127,19802,91622
128,77452,60387
129,7501,74280
130,24419,15222
131,49820,28719
132,46307,28455
133,41588,71327
134,45665,58808
135,26654,17602
136,39833,27618
137,93963,55187
138,56932,41902
139,72327,99782
140,61757,88632
141,77168,77907
142,53035,38952
143,62266,44568
144,16819,99974
145,56046,68660
146,5149,14839
147,61611,77443
148,57279,129
149,61537,55641
150,66254,10594
151,30346,51261
152,58598,92247
153,12474,64212
154,92681,54477
155,126,6425
156,65476,75368
157,46295,76533
158,60623,60138
159,48232,35061
160,91184,88409
161,61067,20703
162,91053,63144
163,64980,55737
164,23216,58329
165,82593,24204
166,66395,6835
167,41902,96710
168,25334,88491
169,17838,59135
170,24876,93721
171,4969,32298
172,82065,76881
173,80812,94911
174,89136,1572
175,27058,4851
176,64119,63682
177,97351,66525
178,72314,62832
179,41140,49267
180,89640,3407
181,76369,84603
182,8032,21284
183,3392,33279
184,2982,43574
185,69205,29965
186,91217,49007
187,79151,34109
188,67006,50561
189,70316,7116
190,50058,64970
191,79064,40059
192,50730,36814
193,88578,37917
194,56715,17211
195,56313,21295
196,65497,70658
197,4031,12664
198,91856,53622
199,57133,32469
200,58159,17872
201,81211,46540
202,15432,99640
203,68372,60894
204,75417,8855
205,94989,52654
206,68854,3549
207,87955,43595
208,62569,87202
209,67903,2830
210,67391,84694
211,34528,16589
212,29106,84465
213,34795,92823
214,90541,21367
215,33372,23026
216,30627,2630
217,38834,71488
218,33343,11394
219,74839,60628
220,82953,82284
221,42081,6979
222,4183,81136
223,47580,35046
224,53959,43820
225,11979,91833
226,65096,85376
227,19551,46727
228,99530,67974
229,35660,77481
230,38394,56882
231,39034,21896
232,56075,77161
233,94355,60906
234,64729,6525
235,29355,18836
236,19368,85872
237,88121,66602
238,75814,87052
239,69208,94708
240,17533,71933
241,50991,27172
242,94838,22122
243,3827,88491
244,66182,11523
245,4372,87577
246,55149,84669
247,20958,9833
248,29630,29110
249,71811,35936
250,85246,6990
251,54801,1144
252,50364,83709
253,23678,19387
254,48069,78985
255,99380,6947
256,90554,98164
257,13842,50995
258,27370,70399
259,69674,35273
260,9089,4472
261,717,78662
262,22937,3942
263,98416,9862
264,28393,2746
265,41225,21958
266,45507,75156
267,76417,55043
268,33367,41641
269,27578,22302
270,88561,13253
271,31609,11527
272,71836,32117
273,52946,53232
274,59185,42465
275,12897,66994
276,15011,95780
277,52591,60389
278,83050,46596
279,18783,69503
280,69993,24618
281,68855,25932
282,72873,48255
283,83977,55485
284,50354,92223
285,94870,55485
286,56078,21936
287,3190,92576
288,24188,94934
289,38140,3089
290,58646,36077
291,79894,6053
292,60857,77538
293,7945,61239
294,77306,32366
295,47095,45287
296,94085,56773
297,7961,21376
298,6479,27576
299,69023,91011
300,95906,72533
301,14594,38090
302,12949,87398
303,42147,96981
304,99434,4756
305,98446,26472
306,54201,76338
307,95410,5445
308,47347,45361
309,43050,86003
310,60541,63011
311,19434,93471
312,35123,53290
313,49958,7172
314,99114,64724
315,82811,60605
